fun,wendland,X_TRAIN_SIZE,time,tstd
jax,None,50,0.6346666147834377,1.0209560596905551
jax,None,75,0.7137249221463176,0.2725666494845947
jax,None,100,0.772890337002583,0.29335150837320256
jax,None,125,0.7412370987880377,0.26458664739967624
jax,None,150,0.7790741966616723,2.0515736636370687
jax,None,175,0.8318656543205525,0.24871648782115613
full,None,50,1.2389360629406172,10.570445480625857
full,None,75,1.2507281427582104,14.25529936685015
full,None,100,1.4946154959407854,12.467812929146783
full,None,125,1.7160558700561523,12.116873620487072
full,None,150,1.966352439695789,12.477165009124665
full,None,175,2.07531201017314,11.20013278282051
band,40,50,0.70,0.65
band,40,75,0.76,0.39
band,40,100,0.87,0.31
band,40,125,0.86,0.29
band,40,150,0.95,0.32
band,40,175,1.06,0.30
band,60,50,0.70,0.56
band,60,75,0.78,0.35
band,60,100,0.89,0.26
band,60,125,0.95,0.25
band,60,150,1.05,0.23
band,60,175,1.21,0.30
band,80,50,0.71,0.60
band,80,75,0.79,0.63
band,80,100,0.94,0.26
band,80,125,0.98,0.33
band,80,150,1.12,0.24
band,80,175,1.33,0.20
band,100,50,0.72,0.54
band,100,75,0.81,0.34
band,100,100,0.97,0.32
band,100,125,1.04,0.28
band,100,150,1.22,0.25
band,100,175,1.64,0.26
band,120,50,0.72,0.62
band,120,75,0.81,0.31
band,120,100,0.99,0.25
band,120,125,1.11,0.22
band,120,150,1.43,0.39
band,120,175,1.87,0.21
band,140,50,0.73,0.78
band,140,75,0.84,0.34
band,140,100,1.02,0.25
band,140,125,1.27,0.19
band,140,150,1.58,0.17
band,140,175,2.04,0.12
band,160,50,0.74,0.51
band,160,75,0.87,0.36
band,160,100,1.16,0.27
band,160,125,1.42,0.15
band,160,150,1.67,0.16
band,160,175,2.20,0.13
band,180,50,0.74,0.57
band,180,75,0.87,0.31
band,180,100,1.16,0.29
band,180,125,1.42,0.21
band,180,150,1.67,0.18
band,180,175,2.20,0.13
band,200,50,0.74,0.54
band,200,75,0.87,0.38
band,200,100,1.16,0.26
band,200,125,1.43,0.18
band,200,150,1.68,0.16
band,200,175,2.20,0.17
band,-1,50,0.74,0.62
band,-1,75,0.86,0.34
band,-1,100,1.15,0.33
band,-1,125,1.42,0.23
band,-1,150,1.67,0.18
band,-1,175,2.19,0.18
sparse,40,50,3.05,0.17
sparse,40,75,3.17,0.19
sparse,40,100,3.32,0.16
sparse,40,125,3.35,0.10
sparse,40,150,3.53,0.11
sparse,40,175,3.93,0.14
sparse,60,50,3.20,0.20
sparse,60,75,3.37,0.11
sparse,60,100,3.55,0.11
sparse,60,125,3.63,0.10
sparse,60,150,3.79,0.12
sparse,60,175,4.26,0.04
sparse,80,50,3.28,0.11
sparse,80,75,3.57,0.14
sparse,80,100,3.88,0.37
sparse,80,125,4.05,0.13
sparse,80,150,4.22,0.21
sparse,80,175,4.44,0.10
sparse,100,50,3.29,0.23
sparse,100,75,3.66,0.14
sparse,100,100,3.99,0.16
sparse,100,125,4.09,0.08
sparse,100,150,4.28,0.10
sparse,100,175,4.55,0.11
sparse,120,50,3.30,0.13
sparse,120,75,3.72,0.07
sparse,120,100,4.03,0.06
sparse,120,125,4.18,0.06
sparse,120,150,4.33,0.09
sparse,120,175,4.64,0.06
sparse,140,50,3.33,0.07
sparse,140,75,3.87,0.98
sparse,140,100,4.04,0.06
sparse,140,125,4.24,0.06
sparse,140,150,4.43,0.07
sparse,140,175,4.67,0.07
sparse,160,50,3.32,0.09
sparse,160,75,3.84,0.06
sparse,160,100,4.05,0.05
sparse,160,125,4.25,0.03
sparse,160,150,4.50,0.04
sparse,160,175,4.75,0.08
sparse,180,50,3.31,0.10
sparse,180,75,3.84,0.10
sparse,180,100,4.03,0.07
sparse,180,125,4.32,0.05
sparse,180,150,4.48,0.07
sparse,180,175,4.76,0.04
sparse,200,50,3.32,0.11
sparse,200,75,3.84,0.08
sparse,200,100,4.01,0.13
sparse,200,125,4.32,0.12
sparse,200,150,4.46,0.10
sparse,200,175,4.76,0.08
sparse,-1,50,3.32,0.46
sparse,-1,75,3.84,0.25
sparse,-1,100,4.00,0.08
sparse,-1,125,4.29,0.18
sparse,-1,150,4.47,0.43
sparse,-1,175,4.76,0.27
